alg,dset,set,time,acc,logp
svgd_orig,splice,4,2.281048059463501,0.834,-0.3882346387179067
svgd_orig,titanic,0,0.8231339454650879,0.8066666666666666,-0.5317714183714812
svgd_orig,titanic,1,0.739649772644043,0.78,-0.6044775252054724
svgd_orig,titanic,2,0.741016149520874,0.7666666666666667,-0.5525412832679271
svgd_orig,titanic,3,0.7443342208862305,0.8133333333333334,-0.5945746146274695
svgd_orig,titanic,4,0.7319588661193848,0.76,-0.5672237976071455
svgd_orig,twonorm,0,1.1853890419006348,0.97,-0.08509356399426103
svgd_orig,twonorm,1,1.1779038906097412,0.9725,-0.06911610594214297
svgd_orig,twonorm,2,1.1717791557312012,0.9775,-0.06574654649087819
svgd_orig,twonorm,3,1.188960075378418,0.9675,-0.11610114560235717
svgd_orig,twonorm,4,1.1808850765228271,0.9775,-0.10745662592106463
svgd_orig,waveform,0,1.2233119010925293,0.7825,-0.41317517295986067
svgd_orig,waveform,1,1.2329440116882324,0.77,-0.47715815124212496
svgd_orig,waveform,2,1.2112081050872803,0.805,-0.42653424211930235
svgd_orig,waveform,3,1.239384651184082,0.8025,-0.43225250777914953
svgd_orig,waveform,4,1.2448270320892334,0.7375,-0.5006684941054167
