alg,dset,set,time,rmse,logp
pbp,concrete,4,4.618273019790649,5.812103388532147,-3.185593749897514
pbp,concrete,5,4.6209001541137695,5.549269046849671,-3.131908809072886
pbp,concrete,6,4.615624904632568,6.15132735471972,-3.257640047752993
pbp,concrete,7,4.641566038131714,5.663911394578894,-3.155248325256396
pbp,concrete,8,4.653861045837402,5.539146744478428,-3.130194167471628
pbp,concrete,9,4.673094987869263,5.575352280287105,-3.137781688694333
svgd,concrete,0,11.49201202392578,5.872737884521484,-3.316619486718876
svgd,concrete,1,9.938763856887816,5.819424152374268,-3.399581556198617
svgd,concrete,2,9.842309951782228,4.905118942260742,-3.064268986003916
svgd,concrete,3,9.93238401412964,6.038591384887695,-3.4670291316756146
svgd,concrete,4,9.94157576560974,6.440117359161377,-3.570009695476811
svgd,concrete,5,9.91440200805664,5.355725288391113,-3.259594073921753
svgd,concrete,6,9.920010805130005,6.057047367095947,-3.3293012769058303
svgd,concrete,7,9.891117095947266,5.363077640533447,-3.1930684101933644
svgd,concrete,8,9.968770742416382,5.3676605224609375,-3.1524956136604616
svgd,concrete,9,9.970766067504885,5.38893985748291,-3.174115164409002
svgd_orig,concrete,0,5.507984161376953,5.933292119547552,-3.2001159121121145
svgd_orig,concrete,1,5.458615779876709,5.87496907950968,-3.199352997744174
svgd_orig,concrete,2,5.464028358459473,5.490973197926476,-3.130756362257648
svgd_orig,concrete,3,5.515040874481201,5.744563498921836,-3.193806568921552
svgd_orig,concrete,4,5.469128131866455,6.210572945439682,-3.2777980378061256
svgd_orig,concrete,5,5.435020923614502,5.640732302319612,-3.1757804176034803
svgd_orig,concrete,6,5.489758014678955,6.196823357087243,-3.301373017734466
svgd_orig,concrete,7,5.478163003921509,5.554461663186791,-3.135930357216961
svgd_orig,concrete,8,5.441483020782471,5.562657184178005,-3.140950767649725
svgd_orig,concrete,9,5.442124128341675,5.418347260227781,-3.111641017141869
pbp,energy,0,3.821521759033203,1.6844316305236366,-1.9950925308490524
pbp,energy,1,3.836916923522949,1.7852108713056685,-2.0348832854093315
pbp,energy,2,3.5616438388824463,1.5343121882898256,-1.9363887751896465
