,alg,dset,set,time,acc,abs_acc,logp
58,svgd,twonorm,4,4.694330215454102,0.9658079631475266,0.975,-0.06740785170162875
59,nuts,twonorm,4,2.9183638095855713,0.9637276768311858,0.975,-0.06277575743505893
60,svgd,waveform,0,6.912217140197754,0.8290760356187821,0.875,-0.24785418241872692
61,nuts,waveform,0,4.76646089553833,0.8392459791153669,0.9,-0.23206168488874482
62,svgd,waveform,1,4.963642835617065,0.8116138130798936,0.85,-0.2959219206869
63,nuts,waveform,1,4.83098292350769,0.8188919835910201,0.85,-0.2932401895351076
64,svgd,waveform,2,4.825643062591553,0.8366380812972785,0.8825,-0.24077189316739533
65,nuts,waveform,2,4.752285957336426,0.8445632260292768,0.895,-0.23608933983514832
66,svgd,waveform,3,5.211393117904663,0.8188149445131421,0.88,-0.2704567104412439
67,nuts,waveform,3,4.799998998641968,0.8300127527490259,0.8975,-0.2604553425269157
68,svgd,waveform,4,4.7151100635528564,0.8113756221532822,0.85,-0.3054747502078956
69,nuts,waveform,4,4.3555591106414795,0.8172013897262513,0.8625,-0.30384976196366736
