,alg,dim,set,time,acc,abs_acc,logp
50,svgd,64,0,6.077100038528442,0.7701489724745043,0.816,-0.4404330881775661
51,nuts,64,0,1.9623780250549316,0.7364104950092732,0.828,-0.3860357765307417
52,svgd,64,1,4.01416015625,0.8153161145947888,0.858,-0.46846216431993765
53,nuts,64,1,1.9090712070465088,0.7700221720635891,0.842,-0.36276809591182974
54,svgd,64,2,3.9956419467926025,0.7635738328872248,0.802,-0.49526424672521013
55,nuts,64,2,1.7092158794403076,0.7355342009551823,0.824,-0.40704281471599824
56,svgd,64,3,4.028059959411621,0.7803426434085704,0.822,-0.47807900294031125
57,nuts,64,3,1.7031090259552002,0.7495117959976196,0.83,-0.38893662183784183
58,svgd,64,4,3.996350049972534,0.7607853466474699,0.794,-0.5351349281005814
59,nuts,64,4,1.896873950958252,0.7283625506125391,0.806,-0.42693438997678457
60,svgd,128,0,6.559703588485718,0.7853133078436367,0.832,-0.5194873729646661
61,nuts,128,0,1.9992139339447021,0.7211259005963803,0.842,-0.38808828555908986
62,svgd,128,1,4.537976980209351,0.7507998342366045,0.768,-0.7232135326338203
63,nuts,128,1,1.8957939147949219,0.7267647163122892,0.818,-0.4182664457606734
64,svgd,128,2,4.574059009552002,0.751328273900086,0.76,-inf
65,nuts,128,2,1.8016650676727295,0.7242942373156548,0.802,-0.4162719117868692
66,svgd,128,3,4.896274089813232,0.7659820365774903,0.786,-0.664932131262503
67,nuts,128,3,1.8199248313903809,0.7160537570565939,0.818,-0.4243350811544806
68,svgd,128,4,4.543871879577637,0.7733016952996168,0.8,-inf
69,nuts,128,4,1.825937271118164,0.7324004112109542,0.808,-0.4172288237334578
70,svgd,256,0,6.909363031387329,0.7384905562140047,0.752,-inf
71,nuts,256,0,2.564173936843872,0.6927048918902874,0.766,-0.488456836248457
72,svgd,256,1,5.406440258026123,0.7595874804231016,0.772,-inf
73,nuts,256,1,2.610529899597168,0.7168728806599974,0.764,-0.4623988670015242
74,svgd,256,2,5.242199897766113,0.717231498167608,0.736,-1.0310424093874047
75,nuts,256,2,2.7221851348876953,0.6910766867101192,0.752,-0.4944963467726193
76,svgd,256,3,5.032140016555786,0.7608093376062998,0.784,-0.7613140540960301
77,nuts,256,3,2.27231502532959,0.6986118353307247,0.812,-0.42946207492193206
78,svgd,256,4,5.069027900695801,0.7352744899852202,0.75,-1.0979367330465082
79,nuts,256,4,2.242849826812744,0.6762983395159244,0.774,-0.46640072037745267
